year,chapter,chapter_name,emergency
2004,V,Mental & behavioural disorders,129584.0
2004,VI,Nervous system diseases,96953.0
2004,VII,Eye & adnexa diseases,25281.0
2004,VIII,Ear & mastoid diseases,13665.0
2004,X,Respiratory system diseases,505423.0
2004,XI,Digestive system diseases,409161.0
2004,XII,Skin & subcutaneous tissue,114340.0
2004,XIII,Musculoskeletal & connective tissue,157058.0
2004,XIV,Genitourinary system diseases,219388.0
2004,XIX,Injury & poisoning,642714.0
2004,XV,Pregnancy & childbirth,139557.0
2004,XVI,Perinatal conditions,20558.0
2004,XVII,Congenital malformations,9458.0
2004,XVIII,Symptoms & abnormal findings,1007296.0
2004,XXI,Health services contacts,46605.0
2005,I,Infectious & parasitic diseases,127766.0
2005,II,Neoplasms,164881.0
2005,III,Blood & immune disorders,53962.0
2005,IV,"Endocrine, nutritional & metabolic",77422.0
2005,IX,Circulatory system diseases,488990.0
2005,V,Mental & behavioural disorders,128207.0
2005,VI,Nervous system diseases,103908.0
2005,VII,Eye & adnexa diseases,27168.0
2005,VIII,Ear & mastoid diseases,14415.0
2005,X,Respiratory system diseases,527758.0
2005,XI,Digestive system diseases,431832.0
2005,XII,Skin & subcutaneous tissue,119591.0
2005,XIII,Musculoskeletal & connective tissue,176549.0
2005,XIV,Genitourinary system diseases,239483.0
2005,XIX,Injury & poisoning,699796.0
2005,XV,Pregnancy & childbirth,147638.0
2005,XVI,Perinatal conditions,22922.0
2005,XVII,Congenital malformations,10014.0
2005,XVIII,Symptoms & abnormal findings,1042597.0
2005,XXI,Health services contacts,54155.0
2006,I,Infectious & parasitic diseases,136370.0
2006,II,Neoplasms,160986.0
2006,III,Blood & immune disorders,55606.0
2006,IV,"Endocrine, nutritional & metabolic",80305.0
2006,IX,Circulatory system diseases,477080.0
2006,V,Mental & behavioural disorders,123334.0
2006,VI,Nervous system diseases,105566.0
2006,VII,Eye & adnexa diseases,24166.0
2006,VIII,Ear & mastoid diseases,14863.0
2006,X,Respiratory system diseases,529614.0
2006,XI,Digestive system diseases,438458.0
2006,XII,Skin & subcutaneous tissue,121003.0
2006,XIII,Musculoskeletal & connective tissue,182667.0
2006,XIV,Genitourinary system diseases,249821.0
2006,XIX,Injury & poisoning,720176.0
2006,XV,Pregnancy & childbirth,146673.0
2006,XVI,Perinatal conditions,26380.0
2006,XVII,Congenital malformations,10471.0
2006,XVIII,Symptoms & abnormal findings,1038227.0
2006,XXI,Health services contacts,58251.0
2007,I,Infectious & parasitic diseases,139958.0
2007,II,Neoplasms,155607.0
2007,III,Blood & immune disorders,58077.0
2007,IV,"Endocrine, nutritional & metabolic",83510.0
2007,IX,Circulatory system diseases,473512.0
2007,V,Mental & behavioural disorders,119972.0
2007,VI,Nervous system diseases,107098.0
2007,VII,Eye & adnexa diseases,24701.0
2007,VIII,Ear & mastoid diseases,14571.0
2007,X,Respiratory system diseases,531611.0
2007,XI,Digestive system diseases,449615.0
2007,XII,Skin & subcutaneous tissue,121579.0
2007,XIII,Musculoskeletal & connective tissue,184325.0
2007,XIV,Genitourinary system diseases,256127.0
2007,XIX,Injury & poisoning,734532.0
2007,XV,Pregnancy & childbirth,149944.0
2007,XVI,Perinatal conditions,29174.0
2007,XVII,Congenital malformations,10326.0
2007,XVIII,Symptoms & abnormal findings,1053277.0
2007,XXI,Health services contacts,55852.0
2008,I,Infectious & parasitic diseases,145156.0
2008,II,Neoplasms,139025.0
2008,III,Blood & immune disorders,62313.0
2008,IV,"Endocrine, nutritional & metabolic",90635.0
2008,IX,Circulatory system diseases,481816.0
2008,V,Mental & behavioural disorders,120598.0
2008,VI,Nervous system diseases,25300.0
2008,VII,Eye & adnexa diseases,25929.0
2008,VIII,Ear & mastoid diseases,16618.0
2008,X,Respiratory system diseases,584412.0
2008,XI,Digestive system diseases,465380.0
2008,XII,Skin & subcutaneous tissue,126919.0
2008,XIII,Musculoskeletal & connective tissue,198522.0
2008,XIV,Genitourinary system diseases,204879.0
2008,XIX,Injury & poisoning,750694.0
2008,XVI,Perinatal conditions,34009.0
2008,XVII,Congenital malformations,10419.0
2008,XVIII,Symptoms & abnormal findings,1142162.0
2008,XXI,Health services contacts,63432.0
2009,I,Infectious & parasitic diseases,155959.0
2009,II,Neoplasms,141351.0
2009,III,Blood & immune disorders,65098.0
2009,IV,"Endocrine, nutritional & metabolic",95288.0
2009,IX,Circulatory system diseases,486550.0
2009,V,Mental & behavioural disorders,129142.0
2009,VI,Nervous system diseases,122191.0
2009,VII,Eye & adnexa diseases,25661.0
2009,VIII,Ear & mastoid diseases,17511.0
2009,X,Respiratory system diseases,580584.0
2009,XI,Digestive system diseases,489209.0
2009,XII,Skin & subcutaneous tissue,130444.0
2009,XIII,Musculoskeletal & connective tissue,212472.0
2009,XIV,Genitourinary system diseases,222431.0
2009,XIX,Injury & poisoning,799104.0
2009,XV,Pregnancy & childbirth,467.0
2009,XVI,Perinatal conditions,37348.0
2009,XVII,Congenital malformations,11024.0
2009,XVIII,Symptoms & abnormal findings,1160763.0
2009,XXI,Health services contacts,54779.0
2010,I,Infectious & parasitic diseases,173850.0
2010,II,Neoplasms,136583.0
2010,III,Blood & immune disorders,67559.0
2010,IV,"Endocrine, nutritional & metabolic",100666.0
2010,IX,Circulatory system diseases,486564.0
2010,V,Mental & behavioural disorders,130633.0
2010,VI,Nervous system diseases,123262.0
2010,VII,Eye & adnexa diseases,25236.0
2010,VIII,Ear & mastoid diseases,18673.0
2010,X,Respiratory system diseases,625077.0
2010,XI,Digestive system diseases,503023.0
2010,XII,Skin & subcutaneous tissue,134051.0
2010,XIII,Musculoskeletal & connective tissue,210064.0
2010,XIV,Genitourinary system diseases,237097.0
2010,XIX,Injury & poisoning,806221.0
2010,XV,Pregnancy & childbirth,347.0
2010,XVI,Perinatal conditions,39331.0
2010,XVII,Congenital malformations,10787.0
2010,XVIII,Symptoms & abnormal findings,1177644.0
2010,XXI,Health services contacts,48774.0
2011,I,Infectious & parasitic diseases,173791.0
2011,II,Neoplasms,135431.0
2011,III,Blood & immune disorders,68395.0
2011,IV,"Endocrine, nutritional & metabolic",101464.0
2011,IX,Circulatory system diseases,491614.0
2011,V,Mental & behavioural disorders,131980.0
2011,VI,Nervous system diseases,122110.0
2011,VII,Eye & adnexa diseases,23642.0
2011,VIII,Ear & mastoid diseases,17635.0
2011,X,Respiratory system diseases,607101.0
2011,XI,Digestive system diseases,514734.0
2011,XII,Skin & subcutaneous tissue,133729.0
2011,XIII,Musculoskeletal & connective tissue,201409.0
2011,XIV,Genitourinary system diseases,247726.0
2011,XIX,Injury & poisoning,804423.0
2011,XV,Pregnancy & childbirth,282.0
